REF_ID,Site,lat,lon
ref175,ref175_AB,-32.779598,152.119761
ref175,ref175_BB,-33.384345,151.485043
ref175,ref175_BI,-41.882361,148.305147
ref175,ref175_CR,-34.070729,151.157117
ref175,ref175_ED,-37.073425,149.894183
ref175,ref175_FO,-32.070239,152.54628
ref175,ref175_MB,-35.791819,150.23348
ref175,ref175_PB,-33.59912,151.328978
ref175,ref175_PM,-31.594615,152.843581
ref175,ref175_SH,-34.575196,150.871538
ref175,ref175_SO,-43.440167,146.984645
ref175,ref175_SP,-34.300065,150.942834
ref175,ref175_TE,-33.446119,151.451
ref224_i,ref224_i_China,-27.066667,153.467242
ref224_i,ref224_i_Billi,-28.515617,153.564283
ref224_i,ref224_i_SS,-30.23899,153.179563
ref224_i,ref224_i_CBS,-30.267606,153.143319
ref224_i,ref224_i_PM,-31.594029,152.844763
ref224_i,ref224_i_PS,-32.717747,152.141544
ref224_i,ref224_i_SH,-34.592694,150.880494
ref224_i,ref224_i_E,-37.072117,149.907472
ref224_i,ref224_i_Bich,-41.866667,148.312163
ref224_i,ref224_i_Tas,-43.008758,147.329334
ref224_ii,ref224_ii_China,-27.066667,153.467242
ref224_ii,ref224_ii_Billi,-28.515617,153.564283
ref224_ii,ref224_ii_SS,-30.23899,153.179563
ref224_ii,ref224_ii_CBS,-30.267606,153.143319
ref224_ii,ref224_ii_PM,-31.594029,152.844763
ref224_ii,ref224_ii_PS,-32.717747,152.141544
ref224_ii,ref224_ii_SH,-34.592694,150.880494
ref224_ii,ref224_ii_E,-37.072117,149.907472
ref224_ii,ref224_ii_Bich,-41.866667,148.312163
ref224_ii,ref224_ii_Tas,-43.008758,147.329334
ref_225,ref_225_BUGAT,-20.09,150.32
ref_225,ref_225_CURD,-12.58,143.55
ref_225,ref_225_FeatherFlat,-17.51869,146.38664
ref_225,ref_225_Fitzroy,-16.92332,145.99627
ref_225,ref_225_KELSO,-18.44,147
ref_225,ref_225_LI_SI,-14.7,145.46
ref_225,ref_225_NIGHT,-13.18,143.57
ref_225,ref_225_OI_CB,-18.58,146.48
ref_225,ref_225_Reef20344,-20.78,150.9
ref_225,ref_225_SB7,-13.4,143.97
ref_225,ref_225_TYDE,-13.98,144.52
ref_225,ref_225_WAL_IS,-11.45,143.04
ref_225,ref_225_WILKIE,-13.77,143.64
ref_226,ref_226_MI,-21.745774,114.282
ref_226,ref_226_MB,-20.361,115.51406
ref_226,ref_226_WI,-30.839265,115.180399
ref_226,ref_226_HAI,-28.435958,113.708556
ref_226,ref_226_SB,-25.144433,113.137755
ref_226,ref_226_NIN,-23.6923,113.5767